PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
29.22,118.12710293078135,0.06,9.57,7.77,23.48347601937197,0.06,13.58,5.08,1.37,3.65,0.32
27.32,35.75,3.07,2.14,3.41,24.57,0.48,4.84,6.03,0.25,1.34,3.0701278234985114
24.05,41.95,2.97,0.25,3.79,21.6,0.26,8.16,11.09,0.08,0.42,3.0701278234985114
26.47,33.51,2.96,0.08,3.5,26.0,0.31,8.79,5.76,10.03,10.52,3.0701278234985114
35.13,43.65,2.96,0.15,3.69,25.1,0.31,8.49,7.94,0.12,0.52,3.0701278234985114
24.92,31.74,2.97,0.18,3.74,23.73,0.27,8.69,9.67,0.08,0.41,3.0701278234985114
21.7,27.32,4.33,0.12,5.6,26.24,0.27,4.54,8.47,8.27,8.6,3.0701278234985114
28.33,33.24,6.24,0.39,8.44,28.53,0.36,5.3,10.16,0.12,0.57,3.0701278234985114
22.63,28.06,11.4,0.33,15.49,23.59,0.28,5.52,0.79,4.18,4.62,3.0701278234985114
15.06,19.85,11.4,0.36,15.51,14.87,0.22,5.43,2.46,0.05,0.35,3.0701278234985114
19.5,25.12,11.44,0.25,15.38,17.65,0.25,6.06,1.17,0.05,0.31,3.0701278234985114
10.48,14.73,11.44,0.11,15.2,19.03,0.22,6.4,1.27,0.03,0.33,3.0701278234985114
11.79,18.9,11.47,0.95,16.08,19.13,0.25,6.79,8.71,1.02,1.41,3.0701278234985114
9.53,20.94,11.54,0.75,15.94,16.64,0.27,6.62,7.67,10.19,10.54,3.0701278234985114
8.53,11.26,11.47,0.34,15.48,15.61,0.24,6.61,1.3,0.05,0.45,3.0701278234985114
10.42,14.56,11.56,0.26,15.49,16.78,0.26,6.96,1.75,0.06,0.49,3.0701278234985114
5.74,9.67,11.53,0.34,15.57,12.4,0.21,6.79,1.16,0.03,0.31,3.0701278234985114
3.14,5.83,11.51,0.2,14.68,17.91,0.18,7.47,0.55,7.73,8.0,3.0701278234985114
1.97,4.06,11.54,0.13,15.25,12.44,0.18,6.98,1.78,6.7,6.95,3.0701278234985114
5.4,9.88,11.62,0.27,15.57,17.69,0.25,7.21,0.22,8.33,8.74,3.0701278234985114
3.55,7.84,11.7,0.18,15.6,17.07,0.26,6.97,34.49143047551845,6.89,7.42,3.0701278234985114
3.85,6.78,11.6,0.17,15.4,15.28,0.21,7.23,34.49143047551845,13.67,14.03,3.0701278234985114
4.49,8.9,11.7,0.3,15.65,14.49,0.24,6.6,1.55,20.86,21.42,3.0701278234985114
7.92,12.97,11.68,0.35,15.71,18.21,0.3,6.47,1.61,0.06,0.76,3.0701278234985114
8.24,13.13,11.6,0.23,15.48,16.69,0.28,6.46,0.1,10.3,10.91,3.0701278234985114
5.48,9.88,11.53,0.08,15.15,14.56,0.19,6.42,0.07,16.64,17.0,3.0701278234985114
6.32,11.92,11.56,0.22,15.43,15.74,0.23,6.93,0.41,22.57,22.98,3.0701278234985114
10.16,14.63,11.58,0.25,15.58,18.64,0.27,7.6,0.12,6.11,6.56,3.0701278234985114
6.15,8.99,13.16,0.63,16.56,15.26,0.24,7.36,2.82,3.21,3.68,3.0701278234985114
3.93,6.85,11.51,0.18,15.43,19.43,0.27,8.04,0.19,10.76,11.43,3.0701278234985114
13.61,17.4,11.52,0.49,15.75,22.37,0.32,8.51,2.66,22.22,22.76,3.0701278234985114
13.29,19.14,11.54,0.34,15.65,27.89,0.37,8.6,0.24,0.07,1.0,3.0701278234985114
16.09,20.04,11.47,0.09,15.21,32.66,0.31,8.61,0.06,0.06,0.82,3.0701278234985114
