PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
58.36,118.12710293078135,2.6,21.39,23.31,23.48347601937197,2.6,32.66,53.54,0.0,0.0,0.0
79.29,118.12710293078135,1.16,26.94,26.83,23.48347601937197,1.16,67.41,59.3,0.0,0.0,0.0
60.78,118.12710293078135,9.07,18.21,27.34,23.48347601937197,9.07,29.48,34.75,2.05,0.55,0.22
71.56,118.12710293078135,3.51,16.83,20.32,23.48347601937197,3.51,30.28,57.16,3.95,8.01,0.63
30.76,118.12710293078135,2.72,14.14,16.98,23.48347601937197,2.72,43.62,54.78,3.58,9.38,0.84
53.07,118.12710293078135,4.17,13.82,17.45,23.48347601937197,4.17,40.36,21.76,4.47,6.94,0.42
61.06,118.12710293078135,3.52,14.03,17.59,23.48347601937197,3.52,8.08,19.54,0.0,0.0,0.01
39.42,118.12710293078135,5.28,19.56,24.66,23.48347601937197,5.28,17.66,31.3,0.0,0.0,0.0
63.38,118.12710293078135,3.44,13.28,15.44,23.48347601937197,3.44,24.79,43.62,0.0,0.0,1.23
65.11,118.12710293078135,3.14,4.58,6.75,23.48347601937197,3.14,22.27,32.26,0.17,0.04,5.84
51.03,118.12710293078135,6.24,20.47,26.2,23.48347601937197,6.24,15.5,31.44,0.0,0.0,1.29
38.73,118.12710293078135,8.0,19.28,26.61,23.48347601937197,8.0,20.13,25.7,0.0,0.0,2.08
42.0,118.12710293078135,10.44,18.16,21.8,23.48347601937197,10.44,17.0,25.5,0.0,0.0,0.0
38.88,118.12710293078135,2.18,16.28,17.74,23.48347601937197,2.18,26.4,12.47,3.0,6.96,6.37
46.89,118.12710293078135,2.96,16.17,18.49,23.48347601937197,2.96,41.96,10.74,3.41,8.87,3.53
70.96,118.12710293078135,4.12,15.47,19.28,23.48347601937197,4.12,23.67,16.01,3.72,8.13,4.06
53.66,118.12710293078135,4.23,14.43,18.06,23.48347601937197,4.23,14.46,45.64,2.39,6.4,3.53
45.49,118.12710293078135,4.26,13.73,17.1,23.48347601937197,4.26,12.85,71.85,2.5,5.96,3.36
60.86,118.12710293078135,5.27,16.61,21.42,23.48347601937197,5.27,14.91,41.19,3.03,9.18,6.54
57.59,118.12710293078135,5.6,15.47,20.42,23.48347601937197,5.6,41.68,25.51,2.64,6.3,3.08
77.22,118.12710293078135,7.02,15.47,21.13,23.48347601937197,7.02,71.97,9.56,3.74,8.45,1.17
45.29,118.12710293078135,7.25,12.74,19.66,23.48347601937197,7.25,18.64,6.32,2.73,6.99,0.76
25.14,118.12710293078135,6.01,18.73,24.74,23.48347601937197,6.01,38.05,38.52,0.0,0.0,0.0
80.69,118.12710293078135,6.86,16.07,22.25,23.48347601937197,6.86,39.85,32.65,0.0,0.0,0.0
44.75,118.12710293078135,7.76,16.53,24.29,23.48347601937197,7.76,9.89,8.07,0.0,0.0,0.0
38.11,118.12710293078135,7.41,11.62,19.03,23.48347601937197,7.41,3.13,6.69,2.5,5.93,0.74
37.71,118.12710293078135,8.54,16.26,24.8,23.48347601937197,8.54,0.87,4.6,2.52,7.61,0.81
32.37,118.12710293078135,7.53,14.36,21.89,23.48347601937197,7.53,2.17,12.17,1.88,7.92,0.69
34.74,118.12710293078135,7.59,13.51,21.11,23.48347601937197,7.59,4.11,12.22,1.82,6.19,0.47
32.56,118.12710293078135,7.34,13.91,21.25,23.48347601937197,7.34,4.04,11.85,2.55,9.3,0.97
29.28,118.12710293078135,7.55,11.68,19.23,23.48347601937197,7.55,4.01,12.64,1.64,7.0,0.62
20.46,118.12710293078135,7.15,10.61,17.76,23.48347601937197,7.15,5.62,12.7,1.26,5.17,0.32
26.07,118.12710293078135,7.99,11.07,19.06,23.48347601937197,7.99,4.1,10.57,1.5,6.9,0.63
21.43,118.12710293078135,7.45,11.16,18.62,23.48347601937197,7.45,4.99,7.38,1.4,6.69,0.76
11.91,118.12710293078135,7.34,10.1,17.44,23.48347601937197,7.34,10.86,5.47,1.3,12.23,0.73
57.75,118.12710293078135,8.68,9.68,18.36,23.48347601937197,8.68,12.28,3.06,1.98,6.51,0.74
47.5,118.12710293078135,8.07,9.53,17.59,23.48347601937197,8.07,13.91,7.28,1.34,3.97,0.12
47.43,118.12710293078135,8.11,9.45,17.56,23.48347601937197,8.11,7.93,7.08,2.1,3.6,0.13
51.74,118.12710293078135,8.91,12.38,21.28,23.48347601937197,8.91,10.05,5.78,2.15,3.64,0.27
65.37,118.12710293078135,0.64,8.07,8.57,23.48347601937197,0.64,16.31,8.02,1.63,4.34,0.28
56.28,118.12710293078135,0.6,8.02,8.51,23.48347601937197,0.6,18.93,6.2,1.52,3.74,0.29
19.52,118.12710293078135,5.89,11.26,17.15,23.48347601937197,5.89,11.56,4.4,0.58,1.44,0.07
35.16,118.12710293078135,5.75,10.89,16.64,23.48347601937197,5.75,14.7,3.67,1.61,3.71,0.48
33.03,118.12710293078135,7.01,10.58,17.58,23.48347601937197,7.01,12.95,3.53,1.65,3.96,0.37
40.95,118.12710293078135,6.92,10.47,17.39,23.48347601937197,6.92,19.8,3.38,2.05,5.08,0.44
40.29,118.12710293078135,6.74,10.52,17.26,23.48347601937197,6.74,8.27,3.57,1.85,4.34,0.39
41.16,118.12710293078135,6.91,10.51,17.42,23.48347601937197,6.91,13.48,3.69,1.8,4.23,0.33
36.12,118.12710293078135,7.21,11.56,17.07,23.48347601937197,7.21,13.62,6.08,1.67,2.85,0.11
28.51,118.12710293078135,6.69,20.52,27.21,23.48347601937197,6.69,5.69,7.65,1.36,2.17,0.09
31.59,118.12710293078135,6.99,20.42,27.41,23.48347601937197,6.99,9.23,7.9,0.72,2.29,0.12
42.56,118.12710293078135,7.17,20.4,27.57,23.48347601937197,7.17,6.28,9.86,1.36,2.94,0.28
48.12,118.12710293078135,7.14,20.3,27.45,23.48347601937197,7.14,6.77,12.78,1.22,3.39,0.26
37.09,118.12710293078135,7.22,20.21,27.42,23.48347601937197,7.22,8.66,7.94,0.86,2.98,0.16
33.4,118.12710293078135,7.4,20.09,27.5,23.48347601937197,7.4,9.95,8.39,0.8,2.13,0.07
38.64,118.12710293078135,7.35,20.21,27.55,23.48347601937197,7.35,9.74,6.28,1.31,2.8,0.27
40.49,118.12710293078135,7.48,20.23,27.71,23.48347601937197,7.48,8.92,21.51,1.17,3.0,0.11
41.37,118.12710293078135,7.47,20.2,27.68,23.48347601937197,7.47,11.73,19.8,1.82,2.85,0.17
44.56,118.12710293078135,7.49,20.06,27.55,23.48347601937197,7.49,11.23,22.77,1.38,3.36,0.44
65.68,118.12710293078135,7.57,19.94,27.51,23.48347601937197,7.57,8.21,30.21,3.62,5.79,1.0
33.34,118.12710293078135,7.3,20.27,27.57,23.48347601937197,7.3,6.41,32.95,0.0,0.0,0.02
39.17,118.12710293078135,7.35,20.24,27.58,23.48347601937197,7.35,9.17,26.64,0.79,0.76,0.14
34.0,118.12710293078135,7.41,20.1,27.51,23.48347601937197,7.41,9.64,17.17,1.21,1.8,0.15
36.38,118.12710293078135,7.31,20.14,27.45,23.48347601937197,7.31,10.65,13.35,2.0,4.33,0.35
38.35,118.12710293078135,7.41,20.16,27.57,23.48347601937197,7.41,9.33,18.59,1.63,3.74,0.35
43.01,118.12710293078135,6.82,9.96,16.78,23.48347601937197,6.82,11.58,20.59,0.0,2.5,0.13
42.06,118.12710293078135,8.43,11.35,19.78,23.48347601937197,8.43,11.63,28.09,0.0,3.19,0.2
29.58,118.12710293078135,6.61,9.94,16.55,23.48347601937197,6.61,8.82,42.9,0.0,1.87,0.13
32.15,118.12710293078135,6.5,9.7,16.2,23.48347601937197,6.5,9.2,39.02,0.0,2.73,0.19
36.33,118.12710293078135,7.68,12.88,20.56,23.48347601937197,7.68,8.28,43.35,0.0,4.29,0.36
51.72,118.12710293078135,1.89,21.15,23.04,23.48347601937197,1.89,37.31,66.58,3.96,11.1,0.75
54.59,118.12710293078135,2.31,18.33,20.64,23.48347601937197,2.31,19.08,42.43,3.47,10.25,1.12
46.5,118.12710293078135,1.22,12.1,13.32,23.48347601937197,1.22,13.73,61.56,1.9,4.5,0.22
49.04,118.12710293078135,7.38,1.65,9.03,23.48347601937197,7.38,1.44,15.33,0.0,0.0,0.0
34.19,118.12710293078135,6.02,34.38,20.93,23.48347601937197,6.02,14.17,34.49143047551845,0.0,0.0,0.0
32.92,118.12710293078135,4.92,36.8,25.92,23.48347601937197,4.92,14.66,34.49143047551845,0.0,0.0,0.0
33.48,118.12710293078135,1.94,30.88,27.87,23.48347601937197,1.94,14.26,34.49143047551845,0.0,0.0,0.0
30.8,118.12710293078135,2.57,25.15,24.2,23.48347601937197,2.57,17.02,34.49143047551845,0.0,0.0,0.0
34.64,118.12710293078135,6.67,39.23,38.7,23.48347601937197,6.67,15.07,34.49143047551845,0.0,0.0,0.0
46.52,118.12710293078135,3.87,33.24,33.53,23.48347601937197,3.87,15.0,6.9,0.0,0.0,0.0
32.78,118.12710293078135,6.08,12.1,20.94,23.48347601937197,6.08,12.29,13.13,2.6,10.38,2.52
40.43,118.12710293078135,7.42,10.29,23.27,23.48347601937197,7.42,12.24,5.0,2.99,8.49,1.36
27.9,118.12710293078135,9.52,9.55,21.06,23.48347601937197,9.52,14.48,21.74,1.28,5.49,1.3
67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114
73.05,118.12710293078135,7.04,8.37,15.4,23.48347601937197,7.04,40.0,40.57,2.35,4.96,2.44
61.72,118.12710293078135,17.574729662029362,28.560659061126955,36.6,23.48347601937197,2.2485982090856145,14.53197725590996,9.73,4.67,15.99,0.64
59.26,118.12710293078135,17.574729662029362,28.560659061126955,28.25,23.48347601937197,2.2485982090856145,14.53197725590996,26.22,5.08,10.27,1.19
67.4,118.12710293078135,17.574729662029362,28.560659061126955,37.53,23.48347601937197,2.2485982090856145,14.53197725590996,19.89,7.54,15.47,1.19
85.32,118.12710293078135,5.06,31.48,15.88,23.48347601937197,5.06,124.92,28.71,14.55,0.55,6.98
68.53,118.12710293078135,5.78,61.38,34.25,23.48347601937197,5.78,85.69,88.35,9.43,38.61,4.86
81.38,118.12710293078135,5.9,55.07,31.27,23.48347601937197,5.9,58.91,39.29,11.0,41.5,16.69
56.54,118.12710293078135,5.46,32.13,19.75,23.48347601937197,5.46,31.81,66.39,8.81,27.96,3.73
86.09,118.12710293078135,5.9,72.14,39.59,23.48347601937197,5.9,114.3,59.39,16.74,75.26,9.42
65.93,118.12710293078135,5.7,45.55,26.48,23.48347601937197,5.7,99.74,105.69,9.37,36.74,3.21
66.58,118.12710293078135,7.16,62.16,35.66,23.48347601937197,7.16,98.89,66.87,11.34,52.45,9.93
65.35,118.12710293078135,6.17,104.31,53.74,23.48347601937197,6.17,59.29,64.67,0.74,5.81,3.21
53.5,118.12710293078135,4.52,105.31,54.74,23.48347601937197,4.52,171.32,34.49143047551845,11.62,69.29,16.62
72.93,118.12710293078135,90.96,78.54,73.82,23.48347601937197,90.96,39.24,69.95,3.87,21.26,7.16
59.4,118.12710293078135,7.23,47.87,15.42,23.48347601937197,7.23,21.53,71.46,4.07,32.33,6.97
54.75,118.12710293078135,6.99,43.7,14.29,23.48347601937197,6.99,19.99,76.37,4.06,32.31,6.94
62.18,118.12710293078135,7.67,55.29,17.43,23.48347601937197,7.67,29.22,73.67,4.06,32.31,6.93
66.97,118.12710293078135,6.96,37.35,12.77,23.48347601937197,6.96,28.48,89.73,4.11,32.42,7.03
161.09,118.12710293078135,101.89,116.48,108.56,23.48347601937197,101.89,64.92,84.85,4.06,32.36,6.94
63.09,152.67,12.65,163.54,110.17,23.48347601937197,12.65,26.31,113.94,6.3,80.04,1.48
57.54,81.3,7.32,72.14,43.54,23.48347601937197,7.32,120.11,103.24,1.15,23.37,2.04
