PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
83.13,118.12710293078135,6.93,28.71,33.72,23.48347601937197,6.93,49.52,59.76,0.02,0.0,3.14
80.65,118.12710293078135,2.37,22.83,24.0,23.48347601937197,2.37,25.73,47.3,0.0,0.0,0.0
88.7,118.12710293078135,7.29,31.32,37.73,23.48347601937197,7.29,80.09,44.76,0.0,0.0,0.0
105.39,118.12710293078135,1.41,18.21,18.75,23.48347601937197,1.41,35.91,56.15,0.0,0.0,3.31
65.04,118.12710293078135,14.19,30.1,44.21,23.48347601937197,14.19,65.91,31.88,7.72,17.46,2.51
52.99,118.12710293078135,2.23,10.45,10.39,23.48347601937197,2.23,32.76,67.25,3.85,11.39,0.81
119.8,118.12710293078135,4.13,24.07,27.9,23.48347601937197,4.13,50.35,50.49,4.85,12.15,1.35
106.71,118.12710293078135,5.39,25.59,30.51,23.48347601937197,5.39,38.85,60.17,5.58,14.17,1.74
106.01,118.12710293078135,4.28,27.31,30.54,23.48347601937197,4.28,70.29,40.91,9.45,15.54,1.71
97.34,118.12710293078135,3.67,21.58,24.62,23.48347601937197,3.67,64.39,45.69,5.61,15.02,2.25
83.92,118.12710293078135,6.42,25.03,30.8,23.48347601937197,6.42,67.53,34.94,8.24,21.47,3.09
49.51,118.12710293078135,3.1,14.16,16.15,23.48347601937197,3.1,48.33,37.95,4.34,11.34,1.09
50.29,118.12710293078135,5.34,29.84,33.28,23.48347601937197,5.34,59.23,45.44,5.45,15.12,1.65
57.69,118.12710293078135,25.36,29.48,54.79,23.48347601937197,25.36,58.33,52.87,9.55,32.11,4.53
77.69,118.12710293078135,5.24,18.87,23.06,23.48347601937197,5.24,100.48,27.14,9.49,11.77,1.6
63.11,118.12710293078135,5.63,15.5,18.49,23.48347601937197,5.63,38.21,4.72,5.2,8.17,0.73
111.86,118.12710293078135,3.89,22.51,25.17,23.48347601937197,3.89,15.84,31.23,0.0,0.0,0.0
58.37,118.12710293078135,5.74,21.71,27.69,23.48347601937197,5.74,25.9,43.92,2.15,10.46,5.4
109.48,118.12710293078135,4.3,20.27,22.86,23.48347601937197,4.3,46.6,31.34,0.05,0.0,6.19
80.9,118.12710293078135,5.7,18.62,24.23,23.48347601937197,5.7,65.44,22.8,0.05,0.09,3.46
103.29,118.12710293078135,4.55,19.82,23.69,23.48347601937197,4.55,85.42,22.18,0.06,1.17,2.58
107.5,118.12710293078135,5.29,15.56,19.73,23.48347601937197,5.29,74.37,10.12,0.09,0.16,2.91
138.42,118.12710293078135,5.05,16.7,21.56,23.48347601937197,5.05,77.74,27.18,0.01,0.88,2.01
96.65,118.12710293078135,4.67,15.9,20.53,23.48347601937197,4.67,39.41,11.83,0.01,0.0,3.11
83.99,118.12710293078135,2.73,0.08,2.75,23.48347601937197,2.73,34.06,69.57,0.28,0.05,8.97
61.12,118.12710293078135,9.94,17.82,27.18,23.48347601937197,9.94,39.69,25.9,0.0,0.0,3.49
58.44,118.12710293078135,10.68,17.24,27.38,23.48347601937197,10.68,54.69,18.89,0.0,0.0,1.39
61.49,118.12710293078135,11.44,16.69,27.61,23.48347601937197,11.44,42.66,18.2,0.01,0.0,2.59
65.39,118.12710293078135,12.3,16.08,27.86,23.48347601937197,12.3,27.96,22.35,0.0,0.0,2.29
130.34,118.12710293078135,7.14,17.43,23.72,23.48347601937197,7.14,52.07,29.05,5.05,14.0,1.3
53.24,118.12710293078135,8.05,15.86,23.34,23.48347601937197,8.05,36.23,21.58,5.23,15.0,1.02
51.93,118.12710293078135,13.71,17.87,31.64,23.48347601937197,13.71,15.33,12.88,6.32,19.17,10.57
103.78,118.12710293078135,6.36,13.9,19.86,23.48347601937197,6.36,7.76,15.27,0.82,1.37,0.81
89.6,118.12710293078135,6.59,19.84,25.9,23.48347601937197,6.59,48.05,44.78,0.0,0.0,0.0
45.5,118.12710293078135,8.56,15.59,24.15,23.48347601937197,8.56,0.76,3.82,5.09,8.52,1.82
36.98,118.12710293078135,8.21,11.52,19.74,23.48347601937197,8.21,0.52,5.17,3.63,8.16,1.33
43.58,118.12710293078135,8.26,13.33,21.58,23.48347601937197,8.26,1.02,7.56,3.59,6.79,1.5
45.49,118.12710293078135,9.63,14.91,24.53,23.48347601937197,9.63,0.81,2.94,3.67,6.62,1.17
38.06,118.12710293078135,8.67,18.57,27.25,23.48347601937197,8.67,1.05,4.63,2.85,5.12,0.74
45.41,118.12710293078135,9.35,20.55,29.9,23.48347601937197,9.35,0.74,4.5,2.83,7.18,0.82
66.39,118.12710293078135,8.58,12.79,21.36,23.48347601937197,8.58,11.09,4.96,1.76,6.18,0.57
62.61,118.12710293078135,9.15,9.83,18.98,23.48347601937197,9.15,12.31,6.44,1.87,5.47,0.37
111.8,118.12710293078135,9.23,11.51,20.74,23.48347601937197,9.23,5.27,5.99,1.84,5.69,0.28
30.0,118.12710293078135,8.87,13.59,22.64,23.48347601937197,8.87,8.09,6.31,1.32,4.59,0.16
4.66,118.12710293078135,9.01,10.9,20.36,23.48347601937197,9.01,7.31,6.38,1.27,3.94,0.13
48.72,118.12710293078135,9.56,11.94,21.5,23.48347601937197,9.56,5.72,6.61,1.77,4.96,0.39
49.7,118.12710293078135,9.43,9.81,19.23,23.48347601937197,9.43,6.78,6.42,2.0,4.79,0.31
48.1,118.12710293078135,8.03,9.53,17.57,23.48347601937197,8.03,9.33,7.6,1.68,4.41,0.18
42.68,118.12710293078135,9.74,11.08,20.82,23.48347601937197,9.74,10.87,4.44,1.62,4.96,0.39
38.45,118.12710293078135,10.55,7.8,18.35,23.48347601937197,10.55,10.28,3.24,2.46,4.79,0.41
46.69,118.12710293078135,11.48,0.17,11.64,23.48347601937197,11.48,10.25,5.76,1.77,4.34,0.15
55.27,118.12710293078135,11.55,0.12,11.66,23.48347601937197,11.55,12.7,6.55,1.69,4.17,0.22
149.03,118.12710293078135,11.49,0.16,11.65,23.48347601937197,11.49,10.07,7.27,1.71,5.72,0.19
86.57,118.12710293078135,11.47,0.17,11.64,23.48347601937197,11.47,11.09,6.53,1.57,3.85,0.09
111.77,118.12710293078135,11.3,0.24,11.53,23.48347601937197,11.3,7.73,4.67,1.72,4.52,0.16
51.35,118.12710293078135,8.0,2.69,10.67,23.48347601937197,8.0,10.0,5.76,1.54,4.32,0.35
38.5,118.12710293078135,12.38,19.67,30.02,23.48347601937197,12.38,10.37,16.33,1.56,2.97,0.42
50.24,118.12710293078135,9.46,12.31,21.77,23.48347601937197,9.46,11.63,13.61,0.0,3.42,0.29
61.77,118.12710293078135,8.68,15.43,24.1,23.48347601937197,8.68,8.1,18.69,0.0,4.83,0.38
