PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
48.17,118.12710293078135,0.65,8.0,8.55,23.48347601937197,0.65,18.99,7.97,1.23,4.74,0.12
33.56,118.12710293078135,0.72,7.89,8.56,23.48347601937197,0.72,11.28,10.18,0.61,3.85,0.08
31.3,118.12710293078135,0.55,8.1,8.49,23.48347601937197,0.55,10.29,7.44,0.52,2.31,0.06
57.11,118.12710293078135,0.55,8.28,8.42,23.48347601937197,0.55,14.58,2.6,2.81,14.53,1.87
34.72,118.12710293078135,0.1,9.73,7.88,23.48347601937197,0.1,13.62,4.87,1.44,5.22,0.38
29.79,118.12710293078135,0.14,8.64,7.97,23.48347601937197,0.14,15.11,5.34,0.36,1.05,0.14
59.95,118.12710293078135,0.18,8.78,8.16,23.48347601937197,0.18,11.52,2.79,0.52,1.23,0.22
19.2,118.12710293078135,1.52,9.45,9.74,23.48347601937197,1.52,11.23,4.61,1.29,3.29,0.15
36.47,118.12710293078135,0.98,37.13,22.38,23.48347601937197,0.98,19.01,34.49143047551845,0.0,0.0,0.0
40.9,118.12710293078135,4.09,36.77,24.99,23.48347601937197,4.09,17.01,34.49143047551845,0.0,0.0,0.0
30.47,118.12710293078135,1.64,38.78,36.5,23.48347601937197,1.64,15.8,34.49143047551845,0.0,0.01,0.0
51.72,118.12710293078135,17.574729662029362,28.560659061126955,34.62,23.48347601937197,2.2485982090856145,14.53197725590996,24.71,5.35,10.47,0.92
30.18,74.99,3.06,34.81,19.26,23.48347601937197,0.45,25.09,39.0,8.52,51.18,6.71
18.77,61.54,2.81,23.01,13.01,23.48347601937197,0.39,26.86,47.88,3.41,25.88,2.56
31.16,72.09,3.22,25.9,14.73,23.48347601937197,0.37,21.85,43.35,4.75,31.33,3.61
23.69,64.81,2.28,17.18,10.04,23.48347601937197,0.43,23.5,44.04,2.14,29.17,1.67
38.65,81.47,3.7,26.76,14.75,23.48347601937197,0.36,22.03,54.24,5.84,34.58,3.22
30.8,76.25,4.22,25.97,12.68,23.48347601937197,0.36,18.03,37.28,3.22,22.59,1.83
30.69,107.31,3.43,22.57,11.7,23.48347601937197,0.41,36.24,39.3,3.89,31.0,2.45
21.27,65.12,3.66,13.93,9.31,23.48347601937197,0.36,21.0,40.56,1.67,14.29,0.95
29.84,77.98,3.91,15.77,10.58,23.48347601937197,0.34,25.22,38.31,2.27,15.74,1.02
27.81,73.99,3.41,16.32,10.46,23.48347601937197,0.39,19.16,38.23,2.33,17.57,1.5
28.25,70.48,4.83,13.88,10.25,23.48347601937197,0.38,16.51,41.74,1.17,9.32,0.56
30.72,88.9,3.76,33.6,19.08,23.48347601937197,0.63,14.73,4.08,7.45,43.04,2.98
33.19,65.77,3.91,39.76,22.28,23.48347601937197,0.71,14.4,40.28,8.11,25.23,3.18
20.67,69.5,5.19,34.11,20.48,23.48347601937197,0.82,13.05,36.32,6.71,20.69,3.63
22.92,70.97,4.88,28.47,17.52,23.48347601937197,0.57,11.6,30.16,7.93,20.35,3.84
21.17,81.73,5.23,25.68,16.39,23.48347601937197,0.86,12.69,39.69,4.48,18.91,3.27
20.4,66.21,5.3,26.94,17.05,23.48347601937197,0.68,18.41,37.38,8.21,38.36,7.98
21.72,62.28,3.93,28.15,16.62,23.48347601937197,1.18,17.51,30.53,7.01,30.2,8.68
24.1,87.14,3.16,27.53,15.77,23.48347601937197,0.86,20.82,35.29,6.89,28.99,6.74
21.21,92.72,4.03,31.93,18.56,23.48347601937197,0.85,19.3,33.59,21.69,44.29,6.77
31.49,94.09,6.95,24.73,17.23,23.48347601937197,0.85,11.26,38.44,7.54,45.98,3.36
14.79,11.5,4.88,19.65,13.18,23.48347601937197,0.81,9.4,18.2,4.6,49.52,3.04
19.02,98.37,4.48,16.76,11.49,23.48347601937197,0.52,13.32,45.85,3.33,53.61,2.67
22.2,88.99,7.13,15.67,12.2,23.48347601937197,0.51,13.0,64.75,3.18,60.9,2.46
30.29,118.12710293078135,13.07,25.92,21.72,23.48347601937197,0.75,11.99,43.31,1.95,55.13,1.19
32.56,142.43,8.29,24.83,18.21,23.48347601937197,0.65,11.73,40.54,0.98,51.94,1.22
36.48,150.65,8.96,30.78,20.8,23.48347601937197,0.59,10.41,44.47,1.76,49.31,1.72
62.12,118.67,9.18,56.35,19.86,23.48347601937197,0.49,12.44,68.05,1.32,37.76,1.62
31.57,118.12710293078135,6.37,23.99,16.4,23.48347601937197,0.52,11.01,26.34,1.37,49.58,1.34
29.75,127.98,9.06,25.15,18.92,23.48347601937197,0.67,12.1,34.99,1.39,60.21,0.79
40.02,121.1,7.09,58.92,33.41,23.48347601937197,0.73,16.39,41.64,1.21,44.1,1.35
31.21,38.66,7.2,1.27,10.65,25.63,0.56,4.22,2.81,0.01,0.08,3.0701278234985114
38.39,46.68,7.19,0.91,10.37,29.16,0.57,4.46,0.18,0.0,0.0,3.0701278234985114
43.23,50.83,7.14,1.07,10.48,28.95,0.57,4.53,0.41,0.0,0.0,3.0701278234985114
33.82,41.03,7.09,0.36,9.73,28.41,0.48,4.63,0.3,0.0,0.0,3.0701278234985114
27.14,35.04,5.63,2.32,8.09,23.98,0.5,4.71,13.02,0.13,0.68,3.0701278234985114
31.76,41.51,3.0,1.48,5.24,23.42,0.47,5.04,8.76,0.24,1.19,3.0701278234985114
43.8,53.59,2.97,1.31,4.97,23.41,0.48,5.3,9.96,0.26,1.11,3.0701278234985114
35.48,44.02,3.01,0.83,4.64,24.85,0.49,5.32,6.43,0.27,1.15,3.0701278234985114
51.27,60.05,3.01,0.88,4.62,24.44,0.49,5.63,8.62,49.66,50.11,3.0701278234985114
33.24,40.33,2.93,0.13,3.65,18.55,0.37,5.41,5.64,13.07,13.69,3.0701278234985114
35.34,41.55,2.98,0.16,3.71,20.24,0.32,5.63,5.73,62.93,62.45,3.0701278234985114
47.34,56.65,2.96,0.14,3.66,20.21,0.37,6.17,5.59,0.33,0.33,3.0701278234985114
53.64,62.86,2.96,0.17,3.77,25.43,0.44,6.75,6.44,0.23,0.84,3.0701278234985114
54.9,62.7,2.96,0.13,3.69,25.48,0.42,6.8,5.87,0.25,0.92,3.0701278234985114
44.64,53.86,2.94,0.11,3.59,28.26,0.4,7.34,6.42,0.22,0.82,3.0701278234985114
51.33,60.03,2.92,0.35,3.89,29.89,0.44,7.69,8.76,0.23,0.66,3.0701278234985114
34.54,41.95,2.93,0.13,3.64,28.47,0.36,7.8,7.99,0.19,0.6,3.0701278234985114
39.47,48.07,2.93,0.24,3.79,29.05,0.42,7.67,7.4,0.19,0.73,3.0701278234985114
27.27,33.9,2.95,0.25,3.8,30.99,0.4,7.9,6.74,0.18,0.8,3.0701278234985114
38.6,49.19,2.98,0.26,3.94,32.95,0.45,8.11,6.12,36.6,37.17,3.0701278234985114
36.22,48.66,2.93,0.25,3.86,32.94,0.4,8.36,9.24,0.15,0.55,3.0701278234985114
30.35,39.84,2.9,0.21,3.75,23.37,0.29,8.25,10.87,0.08,0.47,3.0701278234985114
33.19,42.17,2.92,0.3,3.85,22.71,0.3,8.78,13.38,0.12,0.38,3.0701278234985114
39.15,45.79,3.32,0.31,4.47,22.95,0.39,7.81,7.66,6.27,6.66,3.0701278234985114
38.01,45.39,4.41,0.13,5.7,27.97,0.41,4.52,5.62,0.16,0.7,3.0701278234985114
30.06,35.53,4.37,0.17,5.74,30.0,0.37,4.77,6.71,0.15,0.71,3.0701278234985114
46.26,49.81,10.26,0.45,14.04,31.28,0.47,5.66,2.97,29.29,29.74,3.0701278234985114
40.72,48.87,11.4,0.51,15.65,30.38,0.42,5.71,0.72,1.55,2.05,3.0701278234985114
50.56,116.89,6.93,37.27,25.44,11.05,0.97,5.25,23.36,0.08,2.3,0.1
26.22,62.82,2.24,20.1,12.54,12.32,0.61,8.25,23.74,0.07,3.07,0.12
31.83,66.74,2.76,16.83,11.14,11.9,0.61,5.87,24.72,0.05,2.64,0.11
42.71,80.24,15.9,17.35,22.25,24.68,0.49,9.53,30.68,0.1,3.09,0.12
54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,0.08,2.23,0.15
50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,0.1,2.51,0.1
38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,0.1,2.68,0.11
34.31,107.74,9.19,20.85,18.66,15.88,2.2485982090856145,13.97,16.28,0.1,2.44,0.12
38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,0.06,2.12,0.11
33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,0.05,2.04,0.1
29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,0.05,1.85,0.1
38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,0.06,2.18,0.11
30.04,83.07,11.58,24.74,22.65,12.52,0.78,8.98,17.81,0.05,1.91,0.21
39.72,103.81,19.66,26.29,30.06,14.03,0.81,9.68,17.53,0.11,2.46,0.17
38.21,78.95,5.71,19.03,14.85,14.15,0.75,8.03,22.81,0.05,2.19,0.1
41.67,80.09,2.74,13.08,9.19,13.51,0.78,8.35,30.38,0.11,2.08,0.1
32.44,75.3,6.01,19.07,15.02,12.65,0.68,7.75,21.52,0.09,2.72,0.15
26.43,80.85,10.73,20.82,19.8,11.64,0.72,9.43,16.52,0.08,2.24,0.13
25.08,60.67,7.17,15.22,13.94,14.1,0.56,8.63,13.8,0.05,2.19,0.12
26.09,63.05,4.9,10.42,9.51,10.74,0.58,11.33,21.38,0.02,1.26,0.1
16.62,39.94,4.9,8.18,8.43,11.53,0.58,6.37,12.68,0.01,1.52,3.0701278234985114
49.58,82.95,4.98,19.05,14.27,13.47,0.7,12.47,20.32,0.09,2.18,0.22
43.52,80.01,6.41,20.43,16.16,13.75,0.8,10.57,23.36,0.12,2.6,0.29
39.83,76.09,4.63,14.37,11.5,13.34,0.7,8.89,23.13,0.09,2.71,0.1
36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,0.06,2.88,0.1
52.69,94.25,4.69,14.44,11.58,15.35,0.59,16.81,19.03,0.01,1.48,0.1
46.48,95.41,4.35,14.79,11.5,15.02,0.6,15.55,21.04,0.03,1.62,0.16
44.22,77.62,3.56,8.53,7.52,14.58,0.73,9.61,23.87,0.02,1.28,0.1
35.91,71.26,2.94,6.99,6.19,13.53,0.67,3.69,27.58,0.01,1.69,3.0701278234985114
39.05,81.51,3.43,9.86,8.11,10.94,0.68,7.26,23.74,0.05,2.2,0.13
30.21,67.22,5.11,11.29,10.25,11.24,0.58,13.19,20.89,0.01,1.96,0.1
31.14,60.35,4.25,10.36,9.05,11.8,0.83,14.42,20.99,0.02,1.69,0.1
26.82,52.51,3.63,7.68,7.14,11.54,0.69,13.63,23.6,0.0,1.27,3.0701278234985114
26.34,52.07,3.49,8.43,7.41,9.3,0.57,18.83,23.6,0.0,1.38,3.0701278234985114
28.48,55.8,3.06,6.86,6.23,10.49,0.64,12.97,24.19,0.0,1.42,3.0701278234985114
21.83,52.92,2.69,5.28,5.09,7.53,0.55,8.3,23.34,0.0,1.43,3.0701278234985114
24.23,52.06,4.32,14.33,11.23,8.17,0.56,9.95,23.86,0.04,1.38,0.1
22.29,55.96,4.38,11.27,9.64,10.88,0.67,8.08,19.63,0.03,1.85,0.1
25.28,54.59,4.93,9.65,9.24,12.44,0.72,8.7,19.64,0.01,1.5,0.1
19.68,45.57,2.06,6.63,5.2,8.44,0.69,5.86,14.34,0.0,1.43,3.0701278234985114
24.4,70.25,5.01,10.84,9.84,10.27,0.74,7.4,13.13,0.0,1.11,0.1
20.05,79.5,4.17,13.54,10.69,9.77,0.65,10.35,34.29,0.02,1.12,3.0701278234985114
23.72,55.74,4.18,8.86,8.18,10.54,0.81,6.71,19.29,0.0,0.99,0.1
26.12,56.77,4.8,11.71,10.14,9.83,0.5,6.88,14.32,0.0,1.14,0.12
19.78,49.86,3.0,4.9,5.14,6.3,0.66,7.64,23.67,0.0,0.7,3.0701278234985114
18.48,62.52,3.36,12.71,9.5,6.68,0.76,7.38,17.57,0.0,0.87,3.0701278234985114
9.74,33.83,3.94,4.84,5.87,5.66,0.66,7.51,12.65,0.0,0.83,3.0701278234985114
10.35,30.98,3.51,5.55,5.81,4.43,1.01,5.38,7.55,0.0,0.86,3.0701278234985114
22.81,53.85,3.12,6.96,6.33,5.76,0.8,7.09,34.26,0.0,0.22,3.0701278234985114
28.54,56.36,4.29,22.75,15.68,8.96,0.85,7.28,32.62,3.280840304500585,8.700972080037227,3.0701278234985114
18.46,39.45,3.59,14.17,10.55,12.76,0.49,6.37,30.3,3.280840304500585,8.700972080037227,3.0701278234985114
14.42,36.29,3.41,6.9,6.44,7.77,0.43,9.19,35.44,0.08,2.85,3.0701278234985114
12.42,36.29,4.47,10.28,9.11,4.63,0.51,5.82,36.88,0.03,0.21,0.15
16.78,42.22,2.87,5.94,5.57,7.82,0.4,7.31,50.24,0.21,0.74,3.0701278234985114
19.77,62.11,3.66,10.0,8.38,9.3,1.03,12.02,43.79,0.57,0.0,3.0701278234985114
22.63,54.13,2.87,14.93,10.28,9.67,0.26,9.43,41.32,0.81,0.0,3.0701278234985114
16.44,54.42,2.37,7.26,5.79,9.16,2.2485982090856145,8.06,40.47,0.95,0.0,0.1
13.23,41.25,2.51,5.4,4.92,9.37,2.2485982090856145,6.55,29.12,0.23,0.04,1.3
25.62,56.44,4.28,13.88,10.97,11.52,0.48,7.3,44.62,0.44,0.34,8.45
40.32,66.25,4.36,11.3,9.65,10.61,0.5,7.57,24.35,39.22,4.47,8.46
13.07,37.35,3.8,8.59,7.75,9.78,0.46,6.09,29.05,28.37,5.06,4.02
32.33,55.74,3.37,18.42,12.62,13.99,0.51,6.22,44.58,1.84,76.32,3.0701278234985114
19.29,31.22,2.93,13.9,9.86,17.3,0.42,5.87,65.87,3.280840304500585,8.700972080037227,3.0701278234985114
17.99,29.24,2.8,10.45,7.92,14.89,0.32,6.37,63.95,3.280840304500585,8.700972080037227,3.0701278234985114
12.72,24.79,2.33,9.03,6.78,10.79,0.4,5.82,72.26,3.280840304500585,8.700972080037227,3.0701278234985114
13.65,35.39,1.9,6.11,4.79,9.14,0.46,7.1,60.03,3.280840304500585,8.700972080037227,3.0701278234985114
17.64,47.81,3.95,10.06,8.65,9.74,0.49,5.81,46.41,3.280840304500585,8.700972080037227,3.0701278234985114
23.43,57.11,5.5,13.82,11.83,10.29,0.79,6.68,46.96,3.280840304500585,8.700972080037227,3.0701278234985114
25.92,68.27,4.85,15.08,11.96,9.72,0.61,6.36,36.27,3.280840304500585,8.700972080037227,3.0701278234985114
32.7,103.88,3.83,11.83,9.5,11.4,0.55,8.41,47.71,3.280840304500585,8.700972080037227,3.0701278234985114
24.23,78.11,3.0,8.32,6.95,10.85,0.98,9.0,59.68,3.280840304500585,8.700972080037227,3.0701278234985114
17.92,68.72,3.53,7.85,7.13,10.72,0.46,6.66,52.83,3.280840304500585,8.700972080037227,3.0701278234985114
17.38,55.59,4.73,9.13,8.79,9.36,0.84,6.18,54.36,3.280840304500585,8.700972080037227,3.0701278234985114
19.06,59.46,4.75,11.31,9.96,10.32,1.02,5.43,62.58,3.280840304500585,8.700972080037227,3.0701278234985114
18.81,55.66,3.91,11.7,9.49,11.32,1.01,5.53,62.72,0.23,0.26,0.1
17.85,43.47,3.35,11.42,8.88,11.67,1.05,6.86,63.17,0.41,0.24,3.0701278234985114
18.09,45.11,3.0,7.26,6.39,9.25,1.0,6.14,64.6,0.4,0.24,0.1
18.93,60.89,3.85,7.4,7.15,10.94,0.55,6.76,50.27,0.43,0.26,3.0701278234985114
16.86,48.26,2.98,8.54,6.96,10.01,0.52,7.12,50.39,0.36,0.22,0.1
16.85,54.97,5.26,10.6,10.0,11.26,0.57,7.55,43.4,0.38,0.25,3.0701278234985114
16.46,33.5,5.95,17.41,14.19,11.74,0.61,4.72,40.44,0.48,0.5,0.3
18.4,49.43,4.29,13.66,10.85,13.37,0.38,5.51,48.0,0.4,0.28,0.1
20.31,49.14,3.84,12.76,9.99,12.81,0.41,7.54,61.59,0.39,0.25,0.1
23.99,46.59,3.45,16.64,11.74,15.06,0.51,5.01,46.14,0.34,0.32,0.13
20.36,41.99,4.47,15.53,11.98,13.73,0.52,6.62,53.13,0.32,0.27,0.11
15.08,38.79,5.11,13.96,11.66,10.28,0.4,4.9,44.36,0.32,0.25,0.11
19.42,69.33,5.64,13.23,11.71,10.96,0.41,5.6,47.28,0.29,0.25,0.1
13.93,48.97,5.11,10.72,9.94,11.11,0.33,6.52,44.77,0.3,0.25,0.1
18.29,41.01,6.12,17.63,14.44,13.21,0.63,6.53,37.35,0.32,0.29,0.13
17.25,32.02,2.58,6.82,5.82,11.04,0.37,4.65,65.23,0.29,0.2,0.2
13.43,26.94,2.11,5.31,4.54,9.79,0.46,5.17,54.03,0.26,0.2,3.0701278234985114
16.83,38.25,3.04,7.43,6.51,9.56,0.37,5.69,61.43,0.28,0.21,3.0701278234985114
18.16,38.17,3.03,6.81,6.17,10.87,0.36,5.36,53.27,0.24,0.21,3.0701278234985114
16.89,30.98,2.61,6.37,5.51,10.19,0.39,6.75,54.84,0.35,0.87,4.88
15.95,25.24,7.52,7.16,10.56,16.27,0.64,8.77,37.76,0.28,0.12,0.1
17.96,47.61,5.68,14.95,12.66,14.75,0.69,6.51,32.73,0.19,0.12,0.15
16.87,50.6,2.22,7.8,5.94,14.92,0.38,12.46,31.82,0.18,0.06,3.0701278234985114
17.42,56.44,5.71,16.26,13.39,15.6,0.47,11.83,28.85,0.21,0.11,0.1
17.79,68.97,7.15,16.25,14.55,14.24,0.62,10.42,26.08,0.16,0.08,0.2
18.75,82.27,4.66,15.45,12.1,16.15,0.55,9.13,27.44,0.16,0.1,3.0701278234985114
11.92,46.76,3.33,7.75,6.92,16.19,0.57,10.97,29.93,0.13,0.05,3.0701278234985114
17.74,80.26,10.41,20.1,19.29,18.23,0.49,10.98,27.33,0.2,0.19,0.1
21.78,76.32,5.21,20.63,15.21,18.8,0.44,9.64,25.7,0.16,0.18,0.1
28.31,98.01,9.45,24.83,20.98,18.71,0.54,6.69,31.12,0.13,0.12,0.1
20.21,91.71,4.66,16.41,12.61,18.05,0.34,6.74,29.91,0.12,0.08,0.1
18.52,51.48,6.99,18.33,15.52,20.07,0.43,12.46,28.73,0.13,0.1,0.1
25.59,70.1,10.33,21.95,20.17,21.89,0.5,8.64,26.4,0.13,0.14,0.12
21.79,75.21,4.79,15.65,12.3,19.74,0.38,11.1,30.57,0.12,0.08,0.2
24.0,80.0,1.4,28.8,16.4,35.2,0.95,2.9,17.6,0.2,0.1,3.0701278234985114
9.28,16.42,5.01,7.85,8.31,14.27,0.92,8.12,12.29,0.04,0.03,0.1
7.45,20.5,3.99,8.92,8.08,14.63,0.88,8.35,16.01,0.05,0.04,0.1
15.32,45.04,3.13,10.48,8.12,15.07,0.88,8.93,14.12,0.1,0.06,0.1
8.84,23.71,3.77,6.74,6.74,18.92,0.95,8.39,21.01,0.1,0.02,3.0701278234985114
11.39,24.61,3.02,7.96,6.77,13.6,0.96,11.82,26.34,0.1,0.02,0.1
12.51,32.52,2.71,6.6,5.8,14.61,0.86,9.47,28.28,0.1,0.02,0.1
8.71,14.17,1.36,6.04,4.31,20.04,1.03,8.12,22.3,0.1,0.01,0.1
7.0,7.8,1.7,7.66,5.45,17.12,1.08,8.39,17.77,0.09,0.0,0.1
15.76,40.74,4.78,19.03,14.1,16.38,1.36,9.46,23.34,0.1,0.09,0.15
18.79,60.26,5.2,20.45,15.18,18.52,1.1,10.01,22.54,0.1,0.07,0.1
15.05,43.47,3.3,14.59,10.44,19.91,0.95,10.12,22.85,0.1,0.04,3.0701278234985114
10.1,23.92,4.73,13.33,11.02,19.26,0.87,9.24,20.67,0.1,0.08,0.1
14.43,43.47,6.66,16.04,14.03,17.73,0.95,9.76,24.54,0.09,0.06,0.13
22.65,57.46,4.52,16.8,12.7,19.88,1.18,8.89,29.44,0.1,0.08,0.1
28.45,81.89,6.68,19.36,15.81,20.7,1.39,9.78,29.76,0.1,0.07,0.1
24.94,69.22,3.56,19.99,13.29,20.42,1.4,11.98,28.1,0.04,0.06,0.1
26.24,62.75,4.63,21.34,15.23,24.55,1.68,11.17,27.98,0.07,0.12,0.1
30.6,76.16,7.16,24.63,18.91,22.37,1.71,11.64,24.36,0.11,0.18,0.12
21.81,78.68,12.19,23.75,22.67,21.76,1.64,11.8,29.05,0.09,0.07,3.0701278234985114
24.22,86.08,9.81,26.49,22.16,21.11,1.68,11.54,26.93,0.09,0.1,0.1
25.11,81.43,6.01,21.87,16.61,16.71,1.57,11.73,31.81,0.09,0.08,3.0701278234985114
31.3,101.05,9.49,25.22,21.23,18.06,1.48,11.06,35.61,0.08,0.16,0.1
67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114
33.28,75.5,10.44,32.4,25.96,23.03,1.11,8.91,30.15,0.07,0.07,0.1
40.56,66.97,2.56,17.56,11.42,22.66,0.62,11.29,37.87,0.07,0.11,0.1
37.93,67.4,3.85,20.86,14.32,19.44,0.78,8.91,34.81,0.07,0.17,0.14
31.64,69.39,2.6,18.65,11.86,24.14,0.66,9.58,39.56,0.06,0.07,0.1
22.12,34.83,3.73,16.1,11.69,18.14,1.34,10.48,41.51,0.01,0.02,3.0701278234985114
29.25,52.84,4.16,17.41,12.79,17.82,0.81,11.24,42.2,0.0,0.03,3.0701278234985114
38.32,80.97,3.61,26.27,16.89,18.04,0.65,13.38,25.95,0.05,0.18,3.0701278234985114
35.02,71.42,2.84,21.04,13.5,19.86,0.74,6.28,41.37,0.02,0.03,0.1
24.29,50.33,3.45,13.45,10.13,18.22,0.97,14.1,47.86,0.03,0.07,0.1
19.69,50.18,3.1,12.18,9.0,16.71,0.43,12.28,27.91,0.0,0.02,3.0701278234985114
18.81,50.51,6.24,14.01,12.61,15.48,0.92,14.67,20.67,0.01,0.02,3.0701278234985114
26.13,60.44,8.3,22.94,19.06,19.43,0.82,27.0,30.84,0.03,7.96,12.4
24.08,45.81,8.17,27.49,21.37,18.56,0.84,13.47,27.49,0.03,0.07,0.12
21.81,37.31,6.87,28.22,20.75,19.6,0.62,17.33,25.36,0.02,0.13,3.0701278234985114
14.58,41.04,15.55,15.29,20.86,15.78,0.85,14.92,20.11,0.03,0.06,3.0701278234985114
67.45057794890306,42.61,10.61,14.9,16.55,16.9,0.84,11.9,25.72,0.01,0.06,3.0701278234985114
25.88,56.44,6.94,17.79,15.2,15.01,0.84,12.41,27.48,0.04,0.21,0.1
49.7,109.35,8.38,25.91,20.65,17.96,0.76,14.31,46.63,0.05,0.16,0.1
36.86,76.61,8.26,27.36,21.36,20.86,1.09,9.33,21.11,0.02,0.12,0.14
34.41,72.03,10.35,25.38,22.0,19.19,1.07,10.8,21.99,0.02,0.19,0.28
22.05,48.93,6.04,18.92,15.15,19.77,0.94,10.51,26.78,0.0,0.02,3.0701278234985114
33.33,65.58,1.24,19.63,11.45,12.35,0.88,10.4,32.06,0.04,0.15,3.0701278234985114
12.7,38.49,4.68,30.66,20.22,1.62,0.89,8.59,23.45,0.0,0.05,3.0701278234985114
21.58,68.71,20.4,39.44,37.67,3.41,0.73,10.43,19.42,0.0,0.07,0.1
23.22,64.84,20.42,39.56,37.74,2.15,0.89,10.33,21.33,0.01,0.11,0.1
28.39,71.27,11.5,45.23,33.61,0.3,1.04,10.36,35.14,0.01,0.05,3.0701278234985114
16.21,48.0,13.93,43.42,34.5,8.82,0.87,7.51,17.51,0.01,0.07,3.0701278234985114
19.48,46.57,14.56,35.92,30.95,10.76,0.84,7.49,15.47,0.01,0.07,0.1
26.8,66.67,5.44,38.81,25.15,9.87,1.03,9.65,22.63,0.0,0.04,3.0701278234985114
48.35,100.01,3.87,38.27,23.58,10.18,1.07,12.15,35.86,0.0,0.04,3.0701278234985114
19.26,22.54,2.0,30.38,17.79,21.15,0.7,10.94,18.91,0.0,0.0,3.0701278234985114
48.88,84.99,6.61,63.12,38.95,19.24,0.94,29.45,23.97,0.06,0.16,0.11
55.24,81.9,3.65,55.65,32.57,17.93,1.17,13.62,27.34,0.07,0.15,0.1
34.51,63.23,3.87,38.2,23.52,21.38,0.72,12.19,17.24,0.02,0.01,3.0701278234985114
15.12,40.61,2.65,22.75,14.26,22.92,0.38,8.37,19.39,0.0,0.02,3.0701278234985114
51.67,70.71,5.29,55.79,34.06,17.58,1.28,15.66,20.15,0.06,0.12,0.11
54.24,87.78,5.5,56.1,34.39,17.76,0.98,27.99,25.38,0.04,0.05,0.1
33.9,64.61,2.59,15.97,10.54,14.52,0.55,7.78,32.91,0.0,0.01,3.0701278234985114
31.75,58.96,1.38,13.31,8.16,12.92,0.54,13.52,27.85,0.0,0.01,3.0701278234985114
34.8,72.77,7.55,17.35,15.37,10.31,0.59,12.99,24.83,0.0,0.0,3.0701278234985114
32.07,63.36,8.59,17.16,16.19,11.98,0.72,10.51,19.85,0.0,0.0,3.0701278234985114
30.32,66.4,7.19,15.26,14.04,9.84,0.58,10.5,24.21,0.0,0.01,3.0701278234985114
38.35,95.79,18.66,21.18,26.51,9.69,0.72,8.3,27.25,0.0,0.04,0.15
36.92,106.73,26.53,25.18,35.05,10.43,0.64,14.78,30.4,0.0,0.04,0.1
33.88,80.8,3.59,18.86,13.05,14.69,0.51,13.5,30.89,0.0,0.01,0.1
22.47,52.83,3.89,12.56,9.93,11.9,0.46,11.27,19.85,0.0,0.0,3.0701278234985114
14.78,39.26,2.82,8.15,6.69,9.17,0.4,10.43,23.58,0.0,0.01,3.0701278234985114
20.92,49.94,3.23,13.32,9.81,9.1,0.56,15.85,25.36,0.0,0.01,0.1
23.72,51.79,2.9,8.11,6.76,10.79,0.44,8.55,27.48,0.0,0.0,3.0701278234985114
22.49,54.86,5.46,12.0,10.75,11.3,0.43,5.49,23.63,0.0,0.0,3.0701278234985114
21.59,52.32,2.9,10.62,8.02,11.85,0.41,11.52,19.77,0.0,0.0,3.0701278234985114
34.44,76.9,3.11,13.02,9.5,12.13,0.5,14.74,33.17,0.0,0.01,3.0701278234985114
16.39,53.9,2.15,8.68,6.38,11.34,0.62,10.98,31.2,1.7,4.48,0.42
12.88,59.01,2.82,9.92,7.57,11.03,0.69,12.43,29.66,1.38,5.33,0.54
10.66,47.74,4.02,8.02,7.5,9.45,0.35,12.07,22.33,1.05,4.23,0.34
12.77,50.79,2.6,8.45,6.56,8.86,0.53,14.06,22.67,0.95,3.31,0.29
27.0,90.58,5.03,15.67,12.51,9.74,0.41,13.33,27.15,1.01,6.81,0.67
32.79,104.04,4.4,17.4,12.91,11.1,0.4,9.21,31.25,0.86,4.9,0.37
40.08,93.9,6.5,14.86,12.92,11.63,0.58,7.89,28.04,1.74,9.37,0.68
22.09,53.31,2.18,9.6,6.94,6.44,0.68,9.51,29.78,1.87,3.29,0.26
25.39,49.43,2.04,7.75,5.44,7.63,0.7,9.14,32.42,4.88,2.68,2.27
21.71,43.12,1.13,6.24,4.23,7.09,0.5,7.63,36.81,1.7,2.82,0.13
