PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
94.52,118.12710293078135,24.39,32.66,52.61,23.48347601937197,24.39,67.39,111.33,0.24,0.01,7.67
135.99,118.12710293078135,43.48,42.08,84.57,23.48347601937197,43.48,75.23,102.7,0.4,0.04,25.87
178.33,118.12710293078135,54.56,35.31,72.8,23.48347601937197,54.56,55.04,107.38,0.46,0.06,35.61
139.7,118.12710293078135,30.61,28.4,56.73,23.48347601937197,30.61,33.79,73.6,0.17,0.03,11.87
103.36,118.12710293078135,18.18,39.56,57.33,23.48347601937197,18.18,80.43,40.11,11.29,24.35,3.35
177.33,118.12710293078135,37.49,47.58,77.85,23.48347601937197,37.49,99.72,36.47,17.0,52.66,6.98
113.25,118.12710293078135,15.55,30.5,44.87,23.48347601937197,15.55,69.71,33.78,10.47,28.53,3.22
99.7,118.12710293078135,19.85,28.1,47.31,23.48347601937197,19.85,73.23,30.57,10.28,31.25,4.0
80.61,118.12710293078135,15.96,21.04,35.67,23.48347601937197,15.96,54.7,36.2,8.14,18.75,2.52
100.79,118.12710293078135,16.24,25.93,41.91,23.48347601937197,16.24,43.11,37.43,10.0,32.41,4.04
107.99,118.12710293078135,11.25,30.09,40.47,23.48347601937197,11.25,84.86,31.94,9.2,24.03,3.25
140.29,118.12710293078135,33.84,36.14,68.85,23.48347601937197,33.84,101.53,40.98,20.12,43.51,7.48
239.96,118.12710293078135,61.95,46.25,106.92,23.48347601937197,61.95,84.87,33.55,22.14,53.98,15.44
142.96,118.12710293078135,45.45,48.21,92.32,23.48347601937197,45.45,62.96,34.77,7.35,22.4,8.47
238.41,118.12710293078135,77.7,55.07,131.32,23.48347601937197,77.7,89.07,37.3,50.61,163.64,28.46
118.72,118.12710293078135,12.56,32.01,42.56,23.48347601937197,12.56,61.54,38.8,16.89,46.52,6.05
91.83,118.12710293078135,12.99,28.71,40.76,23.48347601937197,12.99,39.71,38.46,2.69,1.74,2.25
173.01,118.12710293078135,48.44,42.27,90.73,23.48347601937197,48.44,78.76,59.39,9.72,9.96,4.13
105.06,118.12710293078135,46.24,37.05,82.23,23.48347601937197,46.24,53.62,45.65,20.89,75.36,12.7
