PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
79.84,118.12710293078135,13.85,28.68,41.08,23.48347601937197,13.85,48.49,97.07,0.04,0.0,4.81
74.28,118.12710293078135,8.92,27.3,33.42,23.48347601937197,8.92,54.28,47.42,0.0,0.0,0.27
113.93,118.12710293078135,4.32,24.27,26.86,23.48347601937197,4.32,48.73,39.94,0.02,0.0,3.55
66.52,118.12710293078135,6.34,23.8,28.24,23.48347601937197,6.34,66.58,53.14,9.7,9.63,16.49
93.88,118.12710293078135,18.21,29.38,47.01,23.48347601937197,18.21,62.75,46.79,5.21,2.55,1.55
118.49,118.12710293078135,4.11,28.94,31.83,23.48347601937197,4.11,54.2,53.61,7.9,21.32,2.78
158.25,118.12710293078135,5.86,27.89,32.65,23.48347601937197,5.86,142.36,38.54,13.67,21.24,2.83
237.76,118.12710293078135,4.99,21.8,25.37,23.48347601937197,4.99,96.28,39.77,8.68,14.95,1.28
133.37,118.12710293078135,3.88,17.99,21.02,23.48347601937197,3.88,57.34,39.66,5.76,11.74,1.04
133.3,118.12710293078135,6.52,20.0,26.18,23.48347601937197,6.52,51.58,59.03,9.94,21.13,2.31
96.04,118.12710293078135,3.8,20.07,23.46,23.48347601937197,3.8,62.42,46.61,7.54,13.44,1.65
120.96,118.12710293078135,4.23,20.86,25.02,23.48347601937197,4.23,35.54,35.66,6.05,15.85,1.68
138.63,118.12710293078135,5.65,25.47,30.67,23.48347601937197,5.65,87.43,29.77,11.25,24.67,3.12
144.36,118.12710293078135,15.82,30.69,46.1,23.48347601937197,15.82,66.39,27.34,17.22,49.56,7.71
95.37,118.12710293078135,18.01,26.23,44.34,23.48347601937197,18.01,13.59,41.64,1.21,3.28,20.78
126.04,118.12710293078135,6.99,20.18,26.78,23.48347601937197,6.99,79.56,28.71,0.2,0.0,6.4
71.22,118.12710293078135,16.73,21.32,37.58,23.48347601937197,16.73,50.09,28.39,1.38,23.54,6.09
97.87,118.12710293078135,6.3,17.96,23.45,23.48347601937197,6.3,13.85,34.16,0.21,4.91,2.95
129.04,118.12710293078135,5.69,14.86,19.66,23.48347601937197,5.69,78.27,18.67,0.0,0.0,1.54
126.77,118.12710293078135,15.69,23.93,39.73,23.48347601937197,15.69,93.18,36.71,0.22,0.04,10.0
86.31,118.12710293078135,2.69,10.5,10.9,23.48347601937197,2.69,50.13,90.54,0.47,0.15,12.8
97.48,118.12710293078135,5.31,30.02,33.62,23.48347601937197,5.31,36.05,16.26,10.6,34.91,3.85
129.27,118.12710293078135,14.28,28.33,41.92,23.48347601937197,14.28,70.13,25.4,16.9,44.19,4.97
77.87,118.12710293078135,6.67,17.12,23.0,23.48347601937197,6.67,46.82,16.67,4.79,9.78,5.1
87.03,118.12710293078135,8.05,17.88,25.53,23.48347601937197,8.05,23.84,48.22,0.0,0.0,0.0
151.4,118.12710293078135,10.8,0.36,11.16,23.48347601937197,10.8,7.8,5.46,0.95,3.54,0.12
39.61,118.12710293078135,17.31,14.84,32.15,23.48347601937197,17.31,10.76,5.38,1.67,3.17,0.24
61.79,118.12710293078135,17.24,14.82,32.06,23.48347601937197,17.24,12.39,8.06,0.91,1.81,0.2
43.22,118.12710293078135,17.17,14.82,31.99,23.48347601937197,17.17,11.68,37.87,1.29,3.06,0.14
33.41,118.12710293078135,17.12,14.86,31.98,23.48347601937197,17.12,12.96,86.83,1.08,2.1,0.05
36.9,118.12710293078135,17.08,14.85,31.93,23.48347601937197,17.08,4.73,54.01,0.91,1.25,0.16
36.36,118.12710293078135,17.11,14.79,31.9,23.48347601937197,17.11,8.86,77.3,0.0,0.0,0.06
32.64,118.12710293078135,17.01,14.84,31.85,23.48347601937197,17.01,7.05,62.31,0.0,0.0,0.01
38.23,118.12710293078135,17.07,14.89,31.96,23.48347601937197,17.07,10.9,55.94,0.0,0.0,0.01
39.86,118.12710293078135,16.98,14.83,31.81,23.48347601937197,16.98,10.02,96.83,0.0,0.01,0.02
72.74,118.12710293078135,17.04,14.84,31.88,23.48347601937197,17.04,4.23,99.03,0.0,0.0,0.0
43.2,118.12710293078135,17.05,14.86,31.91,23.48347601937197,17.05,5.96,59.99,0.0,0.0,0.11
63.2,118.12710293078135,17.03,14.82,31.85,23.48347601937197,17.03,3.69,7.57,0.0,0.0,0.0
64.73,118.12710293078135,17.01,14.82,31.83,23.48347601937197,17.01,6.45,12.13,0.0,0.0,0.0
65.28,118.12710293078135,17.04,14.85,31.89,23.48347601937197,17.04,6.13,18.2,0.0,0.0,0.0
67.86,118.12710293078135,16.97,14.87,31.84,23.48347601937197,16.97,8.87,16.53,0.0,0.0,0.0
52.4,118.12710293078135,16.97,14.81,31.78,23.48347601937197,16.97,9.89,22.55,0.0,0.0,0.0
33.33,118.12710293078135,16.95,14.89,31.84,23.48347601937197,16.95,6.88,33.58,0.0,0.0,0.0
29.52,118.12710293078135,16.94,14.88,31.82,23.48347601937197,16.94,8.56,40.65,0.0,0.0,0.02
15.53,118.12710293078135,17.0,14.85,31.85,23.48347601937197,17.0,15.13,34.18,0.0,0.0,0.0
3.04,118.12710293078135,16.31,21.5,37.81,23.48347601937197,16.31,13.73,30.05,0.02,9.33,0.81
19.14,118.12710293078135,10.33,30.6,40.93,23.48347601937197,10.33,10.96,29.36,0.0,8.36,1.0
76.41,118.12710293078135,17.96,34.7,52.67,23.48347601937197,17.96,15.44,31.49,0.0,7.51,1.15
99.73,118.12710293078135,20.16,30.23,50.39,23.48347601937197,20.16,32.74,20.91,8.58,27.22,4.15
92.12,118.12710293078135,18.21,32.5,50.71,23.48347601937197,18.21,31.75,29.97,6.26,26.4,4.3
118.91,118.12710293078135,5.42,29.22,34.64,23.48347601937197,5.42,79.47,24.89,6.23,12.93,1.74
